v1_brain	v2_blood	v3_connective	v4_reproductive	v5_muscular	v6_alimentary	v7_liver	v8_lung	v9_urinary	v10_endo/exo-crine
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	211.1	-1	-1	15.5
59.1	91.3	41.8	64.3	15.6	50.3	10.6	29.3	48	27.2
58.3	96.5	51.4	102.6	101.5	70.4	73.9	97.8	57.6	132
38	73	22.5	46.5	23.4	30.2	-1	39.1	19.2	31.1
115.7	185.1	147.8	164.2	109.3	191.2	84.4	161.3	268.9	69.9
358	367.7	269.9	165.5	249.9	201.2	253.3	132	144	275.7
41.4	18.3	28.9	19.2	39	15.1	52.8	88	28.8	69.9
27.9	49.5	61	52	23.4	55.3	31.7	29.3	76.8	46.6
320	146	157.4	183.3	70.3	135.8	42.2	332.4	124.8	155.3
363.9	60	99.6	58.8	78.1	130.8	21.1	48.9	48	116.5
33.8	7.8	32.1	16.4	15.6	15.1	31.7	14.7	240.1	19.4
20.3	60	266.6	64.3	164	10.1	295.6	44	67.2	58.2
70.1	86.1	128.5	99.9	140.5	65.4	31.7	122.2	19.2	101
38.8	44.3	51.4	39.7	31.2	25.2	-1	48.9	9.6	31.1
92.9	31.3	48.2	132.7	15.6	80.5	52.8	48.9	86.4	77.7
84.4	138.2	54.6	71.1	39	60.4	-1	34.2	105.6	34.9
54.9	169.5	147.8	38.3	39	135.8	42.2	102.6	19.2	112.6
48.1	80.8	83.5	88.9	203	55.3	105.6	39.1	57.6	46.6
12.7	10.4	12.9	42.4	101.5	15.1	-1	39.1	19.2	19.4
34.6	65.2	38.6	19.2	-1	5	21.1	29.3	57.6	31.1
-1	7.8	-1	1.4	-1	-1	-1	4.9	-1	-1
16.9	15.6	6.4	2.7	-1	-1	-1	4.9	-1	-1
30.4	164.3	215.2	35.6	31.2	30.2	-1	53.8	192	34.9
29.5	-1	6.4	2.7	-1	90.5	10.6	4.9	-1	-1
9.3	-1	16.1	16.4	7.8	10.1	52.8	-1	19.2	27.2
14.4	-1	6.4	5.5	-1	20.1	-1	4.9	9.6	31.1
217.8	174.7	83.5	127.2	85.9	80.5	21.1	107.5	38.4	31.1
73.5	10.4	19.3	21.9	195.2	50.3	158.3	34.2	-1	34.9
48.1	44.3	45	50.6	78.1	20.1	84.4	73.3	67.2	34.9
29.5	33.9	38.6	13.7	15.6	15.1	-1	-1	38.4	19.4
31.2	20.9	93.2	45.1	124.9	40.2	42.2	34.2	67.2	85.4
-1	-1	-1	13.7	-1	-1	-1	-1	-1	-1
18.6	10.4	22.5	58.8	31.2	35.2	137.2	58.7	48	27.2
96.2	93.9	54.6	34.2	85.9	75.5	10.6	73.3	76.8	27.2
20.3	5.2	32.1	26	39	20.1	-1	24.4	-1	3.9
11	10.4	9.6	16.4	101.5	45.3	21.1	78.2	57.6	7.8
27.9	23.5	35.3	56.1	288.9	40.2	116.1	44	38.4	31.1
115.7	88.7	57.8	91.7	101.5	70.4	21.1	63.5	163.2	66
27.9	52.2	38.6	30.1	15.6	30.2	31.7	29.3	48	27.2
0.8	5.2	-1	10.9	101.5	5	-1	4.9	-1	-1
-1	31.3	-1	6.8	-1	-1	-1	-1	-1	-1
0.8	-1	-1	-1	-1	130.8	-1	-1	-1	-1
5.9	-1	-1	1.4	39	-1	10.6	-1	-1	-1
11.8	-1	-1	13.7	-1	-1	10.6	-1	-1	11.6
-1	-1	6.4	-1	70.3	-1	-1	4.9	-1	-1
29.5	15.6	25.7	20.5	15.6	35.2	-1	9.8	28.8	11.6
7.6	2.6	6.4	31.5	15.6	20.1	-1	44	28.8	62.1
5.1	7.8	3.2	1.4	7.8	10.1	-1	-1	9.6	-1
62.5	33.9	57.8	23.3	62.5	35.2	31.7	68.4	38.4	46.6
79.4	26.1	54.6	79.3	85.9	60.4	63.3	78.2	9.6	124.3
0.8	-1	-1	5.5	-1	-1	-1	-1	-1	-1
6.8	-1	9.6	12.3	46.8	10.1	10.6	4.9	28.8	11.6
13.5	75.6	83.5	120.4	39	40.2	-1	24.4	19.2	46.6
15.2	5.2	3.2	16.4	-1	-1	31.7	4.9	19.2	11.6
-1	-1	-1	-1	-1	-1	-1	4.9	86.4	-1
