NCBI_UnigeneID	v1_brain	v2_blood	v3_connective	v4_reproductive	v5_muscular	v6_alimentary	v7_liver	v8_lung	v9_urinary	v10_endo/exo-crine
Hs.104019	21.1	104.3	9.6	21.9	31.2	20.1	63.3	9.8	-1	54.4
Hs.104033	0.8	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.104091	-1	-1	-1	-1	-1	-1	-1	4.9	-1	-1
Hs.1041	0.8	2.6	-1	2.7	-1	-1	-1	34.2	-1	-1
Hs.104119	40.5	-1	45	64.3	23.4	15.1	-1	44	28.8	19.4
Hs.104123	32.1	44.3	41.8	99.9	31.2	30.2	31.7	63.5	86.4	15.5
Hs.104134	9.3	-1	-1	2.7	-1	-1	-1	-1	-1	3.9
Hs.10414	70.1	15.6	12.9	28.7	-1	-1	31.7	19.6	-1	15.5
Hs.104203	65	62.6	38.6	41	23.4	-1	-1	58.7	115.2	42.7
Hs.104215	5.1	-1	-1	54.7	-1	-1	-1	-1	-1	-1
Hs.104223	10.1	2.6	19.3	20.5	7.8	10.1	-1	14.7	28.8	23.3
Hs.104249	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.104305	156.2	127.8	61	57.5	39	50.3	-1	68.4	19.2	151.4
Hs.10431	6.8	26.1	22.5	38.3	-1	30.2	21.1	14.7	-1	-1
Hs.104315	71.8	62.6	115.7	94.4	39	40.2	116.1	58.7	67.2	34.9
Hs.104320	33.8	52.2	35.3	56.1	23.4	15.1	-1	53.8	48	42.7
Hs.104347	20.3	20.9	6.4	15	7.8	15.1	21.1	44	19.2	38.8
Hs.10441	24.5	44.3	9.6	42.4	15.6	30.2	-1	14.7	9.6	34.9
Hs.104450	-1	7.8	-1	-1	-1	-1	-1	-1	-1	3.9
Hs.104476	16.9	-1	3.2	17.8	-1	10.1	-1	44	57.6	19.4
Hs.104519	36.3	52.2	41.8	26	7.8	40.2	-1	68.4	19.2	34.9
Hs.104555	5.9	7.8	6.4	2.7	31.2	5	-1	4.9	38.4	3.9
Hs.104570	0.8	-1	12.9	5.5	-1	10.1	10.6	-1	-1	7.8
Hs.104576	46.4	-1	16.1	1.4	23.4	-1	-1	4.9	-1	-1
Hs.10458	0.8	-1	-1	-1	-1	-1	42.2	-1	-1	-1
Hs.104613	27	18.3	22.5	80.7	39	5	-1	14.7	28.8	38.8
Hs.104624	0.8	23.5	3.2	-1	-1	10.1	211.1	14.7	9.6	-1
Hs.104633	-1	-1	-1	-1	-1	-1	-1	4.9	38.4	-1
Hs.104636	1.7	-1	-1	15	-1	-1	10.6	4.9	-1	-1
Hs.104637	13.5	5.2	-1	10.9	-1	-1	-1	9.8	-1	7.8
Hs.104650	12.7	20.9	22.5	13.7	7.8	5	95	14.7	9.6	27.2
Hs.104661	10.1	18.3	16.1	19.2	7.8	30.2	21.1	4.9	9.6	11.6
Hs.104671	-1	-1	-1	4.1	-1	-1	-1	-1	-1	-1
Hs.104672	29.5	31.3	112.4	84.8	195.2	40.2	52.8	63.5	19.2	77.7
Hs.104677	-1	-1	-1	4.1	-1	-1	-1	-1	9.6	-1
Hs.104684	-1	-1	-1	4.1	-1	-1	-1	-1	-1	-1
Hs.104733	-1	-1	-1	6.8	-1	-1	10.6	-1	-1	-1
Hs.104741	15.2	33.9	6.4	95.8	7.8	5	42.2	14.7	-1	-1
Hs.104744	13.5	2.6	-1	23.3	-1	-1	-1	9.8	-1	-1
Hs.104751	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.104774	0.8	5.2	-1	17.8	31.2	-1	-1	-1	-1	-1
Hs.104777	1.7	-1	3.2	13.7	-1	-1	-1	-1	-1	-1
Hs.104789	-1	-1	-1	5.5	-1	-1	-1	-1	-1	-1
Hs.104792	-1	-1	-1	4.1	-1	-1	-1	-1	-1	-1
Hs.1048	36.3	5.2	25.7	28.7	7.8	20.1	-1	73.3	38.4	15.5
Hs.104801	1.7	-1	-1	1.4	-1	-1	-1	-1	-1	-1
Hs.104806	21.1	26.1	6.4	16.4	54.7	25.2	21.1	24.4	57.6	7.8
Hs.104807	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.104823	-1	-1	-1	1.4	-1	-1	-1	-1	-1	-1
Hs.104825	2.5	5.2	22.5	24.6	-1	30.2	-1	-1	-1	7.8
Hs.104829	-1	-1	-1	1.4	-1	-1	-1	-1	-1	-1
Hs.104864	-1	-1	3.2	5.5	-1	-1	-1	-1	9.6	-1
Hs.104865	2.5	5.2	-1	2.7	78.1	-1	-1	-1	-1	-1
Hs.104879	10.1	54.8	32.1	50.6	7.8	20.1	10.6	9.8	9.6	42.7
Hs.104894	3.4	-1	3.2	8.2	-1	-1	-1	-1	-1	-1
Hs.104920	-1	-1	-1	5.5	-1	-1	-1	-1	-1	-1
Hs.104925	546.2	60	54.6	41	39	110.7	21.1	78.2	28.8	42.7
Hs.104941	2.5	-1	6.4	13.7	7.8	-1	-1	-1	9.6	-1
Hs.104943	-1	-1	-1	4.1	-1	-1	-1	-1	-1	-1
Hs.104944	5.1	-1	-1	4.1	-1	-1	-1	-1	-1	-1
Hs.104950	22	-1	-1	8.2	-1	-1	-1	-1	-1	-1
Hs.104964	-1	-1	-1	4.1	-1	-1	-1	-1	-1	-1
Hs.104967	-1	-1	3.2	1.4	-1	-1	-1	-1	-1	-1
Hs.104972	-1	5.2	-1	8.2	-1	-1	-1	-1	9.6	-1
Hs.104977	-1	2.6	-1	-1	-1	5	-1	-1	-1	-1
Hs.104980	8.4	26.1	73.9	20.5	23.4	45.3	63.3	4.9	153.6	116.5
Hs.10499	68.4	67.8	38.6	75.2	23.4	20.1	10.6	24.4	48	34.9
Hs.104990	-1	-1	-1	5.5	-1	-1	-1	-1	-1	-1
Hs.104991	-1	-1	-1	1.4	-1	-1	-1	-1	-1	-1
Hs.105016	40.5	33.9	16.1	23.3	-1	5	31.7	29.3	28.8	69.9
Hs.105081	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
